text,label
"Congratulations! You've won a $1,000 gift card. Click here to claim your prize.",0
"Your account has been compromised. Please reset your password immediately.",0
"Hi John, just checking in to see if you're available for a meeting tomorrow.",1
"Update your billing information to avoid service interruption.",0
"Thank you for your purchase! Your order will be shipped soon.",1
"Urgent: Your bank account has been locked. Verify your identity now.",0
"Reminder: Your subscription is about to expire. Renew now to continue enjoying our services.",0
"Hey Sarah, it was great catching up with you last week. Let's plan another coffee soon!",1
"Your package has been shipped and is expected to arrive by Friday.",1
"Alert: Suspicious login detected on your account. Secure your account now.",0
"Welcome to our service! We're excited to have you on board.",1
"Claim your free vacation now! Limited time offer.",0
"Your invoice for the month of March is attached. Let us know if you have any questions.",1
"Important: Update your software to the latest version to stay protected.",0
"Hi Alex, here's the report you requested. Let me know if you need anything else.",1